"","Q7","Q10","Q11","Q16","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q28","Q29","Q30","Q31","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q42","Q43","Q44","Q45","Q47","Q49","Q50","Q51","Q52","Q53","Q54","Q56","Q57","Q58","Q59","Q61","Q62","Q63","Q64","Q65","Q66","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"1840",2,1,1,1,2,1,1,1,2,1,1,3,3,1,1,5,1,5,3,1,5,3,5,4,1,3,3,3,1,1,1,4,3,4,1,1,3,1,2,3,2,1,3,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1841",3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,3,1,3,1,1,1,1,3,1,1,1,1,3,1,2,1,1,3,1,1,1,1,1,1,1,1,3,1,3,3,1,1,1,1,1,3,2,3,3,1,1
"1842",1,1,2,2,3,1,1,1,3,3,1,3,1,2,2,3,1,3,3,2,3,2,2,1,1,2,1,3,1,1,3,1,1,1,4,2,3,2,3,2,3,3,2,2,1,3,1,4,1,1,1,3,NA,4,4,4,1,4,2,4
"1843",2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,1,4,1,1
"1844",2,2,2,2,3,2,2,3,2,3,1,3,2,4,2,2,2,2,3,2,3,2,3,1,2,3,1,2,2,3,3,1,2,2,2,2,3,1,3,2,3,3,3,2,2,3,2,2,1,1,1,1,1,2,3,1,2,2,1,1
"1845",2,1,4,4,3,5,3,2,5,4,1,5,1,2,5,1,5,3,1,3,5,5,5,1,1,2,1,5,2,1,1,5,5,2,1,2,3,4,4,1,1,1,2,2,1,5,3,5,4,5,3,5,5,5,4,5,3,5,1,1
"1846",2,1,1,4,1,3,1,1,1,2,1,3,1,1,1,3,1,2,1,2,2,2,3,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,2,1,3,3,1,2,3,3,1,4,3,3,4,1,1
"1847",1,1,2,1,1,1,1,1,1,2,1,3,2,1,1,2,1,1,1,2,3,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,3,1,1,2,1,3,2,1,2,1,1
"1848",3,1,2,3,3,1,1,1,1,1,1,3,2,1,1,1,1,3,1,1,3,3,3,1,1,1,2,1,1,1,1,4,1,2,1,1,3,1,3,1,1,1,3,1,1,2,1,3,2,2,1,2,2,3,3,2,3,2,1,2
"1849",2,1,2,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1850",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1851",2,1,4,2,2,3,1,2,4,1,1,2,1,1,3,1,2,3,1,2,3,3,1,4,2,2,3,1,2,1,1,1,3,1,1,1,1,3,2,1,1,1,1,2,4,4,2,3,1,5,1,2,4,4,5,1,1,3,1,1
"1852",5,2,5,3,5,5,5,5,5,2,2,5,1,3,2,4,2,2,3,4,3,3,5,5,5,3,2,4,2,1,2,1,5,3,3,4,5,4,1,4,3,1,5,3,4,4,3,5,5,4,5,2,4,5,4,1,5,4,4,4
"1853",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,3,1,1,2,1,1
"1854",1,1,2,2,3,1,3,2,1,3,1,3,1,3,2,1,1,2,1,3,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,1,2,3,1,1,2,2,3,1,2,1,2,1,1,1,1,1,1,2,2,1,2
"1855",1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,4,2,1,1,1,1,1,1,1,3,1,2,3,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,3,1,1,3,1,1,1,1
"1856",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,1,1,1,1
"1857",1,2,1,2,2,1,1,1,3,1,1,3,1,1,2,2,1,3,1,3,2,1,2,1,1,2,1,1,2,1,1,1,2,2,1,3,2,1,1,1,2,1,1,1,1,1,1,5,4,1,1,2,1,3,3,4,3,3,1,3
"1858",1,2,3,1,3,5,1,2,5,1,4,3,3,5,4,1,1,4,3,5,1,5,5,5,1,3,1,5,5,1,2,3,1,1,5,4,3,1,5,3,3,4,2,4,4,5,4,3,1,4,1,1,1,5,3,5,1,4,3,1
"1859",4,1,1,1,2,1,3,2,1,1,1,3,2,2,2,2,1,1,2,2,2,3,4,4,1,2,1,1,4,1,1,1,2,1,3,2,2,1,2,2,4,1,1,2,1,3,1,4,2,1,1,1,1,1,1,2,1,1,1,1
"1860",1,1,1,1,1,5,1,5,1,1,1,5,4,1,1,1,1,3,4,4,1,3,4,1,3,3,1,2,3,1,1,3,1,4,5,1,3,1,5,1,3,4,3,1,1,3,1,5,2,5,4,4,3,1,4,3,1,3,1,2
"1861",5,3,5,3,5,4,4,4,5,3,3,4,2,3,4,5,3,4,3,5,3,4,5,5,4,5,3,5,5,3,5,4,5,4,4,5,4,5,5,3,5,4,4,5,3,5,3,4,3,4,3,5,3,5,4,5,5,5,2,3
"1862",2,1,2,1,3,1,3,1,3,2,3,3,3,2,1,2,1,3,3,1,3,5,4,5,2,3,1,1,3,1,2,1,4,3,3,3,3,3,3,1,3,3,1,1,1,3,1,1,3,2,1,1,1,4,3,3,1,3,1,1
"1863",1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,3,3,3,2,4,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,4,1,2,1,3,1,1,1,2,1,2,1,2
"1864",1,1,1,1,1,2,2,1,2,5,1,3,1,2,2,1,1,1,1,2,2,1,5,4,1,4,1,4,2,5,3,1,1,1,2,1,1,3,1,1,3,2,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1865",3,3,3,2,3,2,2,1,4,1,2,5,1,2,3,2,1,4,3,4,2,2,2,3,1,2,2,3,4,1,1,1,3,2,1,3,3,1,2,1,3,1,2,1,1,5,1,4,2,1,1,2,4,5,2,3,3,4,1,3
"1866",1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,3,1,1,5,1,1,2,2,1,1,2,2,3,2,2,2,1,3,1,2,1,2,1,1,2,2,2,1,2,1,1,1
"1867",1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"1868",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1869",4,1,3,2,3,2,4,1,4,3,2,3,1,3,4,1,2,2,3,2,2,3,3,3,2,2,3,4,3,1,3,1,3,2,2,2,2,2,2,1,2,1,2,2,2,4,2,2,2,2,1,3,3,2,2,2,2,4,2,2
"1870",1,1,1,1,3,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
